"foodTruckName","facebookUrl","instagramUrl"
"FOOD TRUCK LINE UPBig Greg BBQBoardwalk on ElmChock Full of Cheese LLCChurros’ TimeCuppiecakesCuzzo’sDirty B’sDoughnut SnobGelu Italian IceHeny’s Fly ChickenIsland NoodlesJusFoodin’AroundKona Ice of WacoLe’s KitchenLulamae’s Cajun CuisineMac House Food TruckMac’s Fry HouseMardi Gras Cajun CuisineNico’s Of Texas, LLCNipa TruckOutlaw Egg RollsRagin Cajun Louisiana KitchenRanch HandRera’s Sweets & EatsRock and Rollin GrillSophia’s Haitian CuisineStreet Bites LLCSushi DojoTanks BurgersTasmanian Mobile KitchenTex-Is Smokin GoodThe Taco Station Food TruckTrolleys Ice CreamTruJamaicaUncle G’s Texas GrilleYUM PIGCongratulations to our 2022 Winners!","https://www.facebook.com/profile.php?id=100068146972993","https://www.instagram.com/biggregbbq/"
"Big Greg BBQ","https://www.facebook.com/profile.php?id=100068146972993","https://www.instagram.com/biggregbbq/"
"Boardwalk on Elm","https://www.facebook.com/boardwalkonelmwacoft","https://www.instagram.com/boardwalkonelm_foodtruck/"
"Chock Full of Cheese LLC","https://www.facebook.com/Chockfullofcheese","https://www.instagram.com/chockfullofcheese/"
"Churros’ Time","https://www.facebook.com/churrostimewaco/","https://www.instagram.com/churrostimewaco/"
"Cuppiecakes","https://www.facebook.com/cuppiecakesofwaco","https://www.instagram.com/cuppiecakes_of_waco/"
"Cuzzo’s","https://www.facebook.com/wacoscuzzo",
"Dirty B’s","https://www.facebook.com/DirtyBsFoodTruck",
"Doughnut Snob","https://www.facebook.com/DoughnutSnob","https://www.instagram.com/doughnutsnob/"
"Gelu Italian Ice","https://www.facebook.com/GeluWaco/","https://www.instagram.com/geluwaco"
"Heny’s Fly Chicken","https://www.facebook.com/henysflychicken","instagram.com/Henysflychicken"
"Island Noodles","https://www.facebook.com/islandnoodlesmiil","https://www.instagram.com/island_noodles_mi_il/"
"JusFoodin’Around","https://www.facebook.com/profile.php?id=100075508193880","https://www.instagram.com/jusfoodinaround/"
"Kona Ice of Waco","https://www.facebook.com/konawaco","https://www.instagram.com/konaiceofwaco/"
"Le’s Kitchen","https://www.facebook.com/leskitchenwaco","https://www.instagram.com/leskitchenwaco/"
"Lulamae’s Cajun Cuisine","https://www.facebook.com/LulamaesCC","https://www.instagram.com/lulamaescc/"
"Mac House Food Truck","https://www.facebook.com/machousewaco","https://www.instagram.com/machousewaco/"
"Mac’s Fry House","https://www.facebook.com/profile.php?id=100077952193394","https://www.instagram.com/macsfryhouse/"
"Mardi Gras Cajun Cuisine","https://www.facebook.com/mardigrascajuncuisine/","https://www.instagram.com/mardigrascajuncuisine/"
"Nico’s Of Texas, LLC","www.facebook.com/nicosoftexas","https://www.instagram.com/nicosoftexas/"
"Nipa Truck","https://www.facebook.com/nipatruck20","https://www.instagram.com/nipatruck/"
"Outlaw Egg Rolls","https://www.facebook.com/outlaweggrolls","https://www.instagram.com/outlaweggrolls/"
"Ragin Cajun Louisiana Kitchen","https://www.facebook.com/RaginCajunLA","https://www.instagram.com/ragincajunla/"
"Ranch Hand","https://www.facebook.com/WeAreRanchHand","https://www.instagram.com/weareranchhand/"
"Rera’s Sweets & Eats","https://www.facebook.com/profile.php?id=100071981179869",
"Rock and Rollin Grill","www.facebook.com/rockandrollingrill",
"Sophia’s Haitian Cuisine","https://www.facebook.com/sophiashaitiancuisine","https://www.instagram.com/sophiashaitiancuisine/"
"Street Bites LLC","https://www.facebook.com/TheBiteCo/","https://www.instagram.com/welovestreetbites/"
"Sushi Dojo","https://www.facebook.com/SushiDojoDFW","https://www.instagram.com/sushidojodfw/"
"Tanks Burgers","https://www.facebook.com/tanksfoodtruck","https://www.instagram.com/tanksburgers/"
"Tasmanian Mobile Kitchen","https://www.facebook.com/profile.php?id=100086663887133","https://www.instagram.com/tasmanianmobilekitchen/"
"Tex-Is Smokin Good","https://www.facebook.com/profile.php?id=100087978142281",
"The Taco Station Food Truck","https://www.facebook.com/thetacostation","www.instagram.com/thetacostation"
"Trolleys Ice Cream","https://www.facebook.com/profile.php?id=100089355743160",
"TruJamaica","https://www.facebook.com/TruJamaicaWaco","https://www.instagram.com/trujamaica/"
"Uncle G’s Texas Grille","https://www.facebook.com/unclegstx","https://www.instagram.com/unclegstx/"
"YUM PIG","https://www.facebook.com/YUM-PIG-OKC-970974776325798","https://www.instagram.com/yumpigokc/"
